result	x	y	cls_subject1	cls_p1	cls_subject2	cls_p2	cls_subject3	cls_p3	covid	KAKEN	freq_word	csize
3895_	-0.16182704486605407	2.499387000668956	1700:Computer Science	0.607142857142857	2200:Engineering	0.214285714285714	2600:Mathematics	0.0714285714285714	FALSE	FALSE	algorithm, optimization, algorithm:, clustering, comprehensive	12
3898_	5.203480290690838	-6.633779464698852	3100:Physics and Astronomy	0.824324324324324	1900:Earth and Planetary Sciences	0.135135135135135	2700:Medicine	0.027027027027027	FALSE	TRUE	primordial, black, gravitational, holes, hole	59
3904_	4.854034708454414	-8.304660280970564	3100:Physics and Astronomy	0.91304347826087	2700:Medicine	0.0869565217391304			FALSE	FALSE	scattering, black, amplitudes, holes, post-minkowskian	21
3906_	3.5635463194259343	-6.1596361095695045	3100:Physics and Astronomy	0.805194805194805	2200:Engineering	0.116883116883117	1000:Multidisciplinary	0.051948051948052	FALSE	TRUE	moment, magnetic, anomalous, muon, hadronic	64
3912_	5.503770406137747	-7.793238684168862	3100:Physics and Astronomy	1					FALSE	TRUE	modular, mixing, neutrino, a4, invariance	11
3919_	2.6744752480604435	-3.8763844235495832	3100:Physics and Astronomy	0.793103448275862	1900:Earth and Planetary Sciences	0.206896551724138			FALSE	TRUE	black, dark, axion, matter, event	46
3969_	-2.3322575429957815	-3.522481903859562	1300:Biochemistry, Genetics and Molecular Biology	0.617647058823529	1600:Chemistry	0.117647058823529	3100:Physics and Astronomy	0.0882352941176471	FALSE	FALSE	cells, gene, hearing, ear, hair	11
398_	-2.515237976678612	0.17818634008083684	2700:Medicine	0.65	2900:Nursing	0.225	1300:Biochemistry, Genetics and Molecular Biology	0.075	FALSE	FALSE	ultra-processed, consumption, food, foods, health	19
3980_	2.5004970469920793	0.49447401047332384	2600:Mathematics	0.426229508196721	2200:Engineering	0.262295081967213	3100:Physics and Astronomy	0.163934426229508	FALSE	FALSE	equation, solutions, nonlinear, generalized, fractal	65
40_	-1.6808053022635636	-1.2154354040414315	2700:Medicine	0.911392405063291	1300:Biochemistry, Genetics and Molecular Biology	0.0506329113924051	2900:Nursing	0.0253164556962025	FALSE	TRUE	cardiovascular, patients, risk, disease, lipoprotein(a)	58
4028_	-0.43221498366116395	0.23927980021266396	2300:Environmental Science	0.737704918032787	1900:Earth and Planetary Sciences	0.0754098360655738	2700:Medicine	0.0459016393442623	TRUE	TRUE	covid-19, air, lockdown, quality, pollution	93
4037_	-2.7162079302651887	0.4084435493229839	2700:Medicine	1					TRUE	FALSE	nasal, high-flow, cannula, respiratory, patients	15
4075_	5.0875608277686375	-5.93188936715989	3100:Physics and Astronomy	0.422535211267606	1900:Earth and Planetary Sciences	0.394366197183099	1000:Multidisciplinary	0.154929577464789	FALSE	FALSE	radio, fast, bursts, burst, repeating	41
4076_	3.958466056855197	-3.8875493119879287	1900:Earth and Planetary Sciences	0.442307692307692	3100:Physics and Astronomy	0.269230769230769	1000:Multidisciplinary	0.153846153846154	FALSE	TRUE	asteroid, (101955), bennu, white, surface	32
4078_	4.46922193752501	-6.169600642445253	3100:Physics and Astronomy	0.517647058823529	1900:Earth and Planetary Sciences	0.470588235294118	1000:Multidisciplinary	0.0117647058823529	FALSE	TRUE	z, reionization, black, first, holes	45
4123_	-0.9658446616825838	2.1349231677843017	1100:Agricultural and Biological Sciences	0.305555555555556	2300:Environmental Science	0.305555555555556	1400:Business, Management and Accounting	0.0555555555555556	FALSE	FALSE	black, fly, soldier, (hermetia, (oncorhynchus	16
4139_	-2.1137090115277672	-3.781771037636736	2700:Medicine	0.962962962962963	3000:Pharmacology, Toxicology and Pharmaceutics	0.037037037037037			FALSE	FALSE	prostate, castration-resistant, metastatic, cancer, therapy	15
4152_	-1.5593536127871819	-1.7661819399136613	2700:Medicine	0.431654676258993	1300:Biochemistry, Genetics and Molecular Biology	0.23021582733813	2400:Immunology and Microbiology	0.18705035971223	FALSE	TRUE	cells, cell, car, cd8+, memory	69
4194_	-0.9048165922181755	-3.158609703245147	2700:Medicine	1					FALSE	FALSE	prostate, biopsy, magnetic, resonance, cancer	17
4202_	4.23421677129844	-1.5690337560056864	2500:Materials Science	0.6	3100:Physics and Astronomy	0.133333333333333	2200:Engineering	0.0952380952380952	FALSE	FALSE	shielding, glasses, radiation, properties, gamma	63
4213_	0.9905985792655051	0.3619416938459082	1900:Earth and Planetary Sciences	0.443037974683544	2300:Environmental Science	0.417721518987342	2600:Mathematics	0.10126582278481	FALSE	TRUE	model, climate, system, earth, cmip6	35
4240_	-2.6288088602827977	-3.017885860124731	2800:Neuroscience	0.35	1300:Biochemistry, Genetics and Molecular Biology	0.3	2700:Medicine	0.25	FALSE	FALSE	c9orf72, function, proteins, stress, translation	12
4296_	-2.0402747582806544	-3.1179791116180313	2800:Neuroscience	0.432432432432432	1000:Multidisciplinary	0.162162162162162	3200:Psychology	0.108108108108108	FALSE	FALSE	brain, gradients, human, across, cortex	20
4310_	0.6593345946640125	-0.2760923028037674	2600:Mathematics	0.368421052631579	2200:Engineering	0.274853801169591	3100:Physics and Astronomy	0.157894736842105	FALSE	TRUE	learning, deep, neural, networks, modeling	44
432_	-2.5606733937045436	-1.4302491857397859	1300:Biochemistry, Genetics and Molecular Biology	0.549019607843137	2700:Medicine	0.176470588235294	2900:Nursing	0.137254901960784	FALSE	FALSE	feeding, time-restricted, circadian, effects, metabolic	22
4372_	-1.8360970960118417	0.450166583651511	3500:Dentistry	0.421052631578947	2300:Environmental Science	0.263157894736842	2700:Medicine	0.236842105263158	TRUE	FALSE	covid-19, dental, coronavirus, (covid-19), dentistry	22
4379_	0.8053806256825309	2.7310630504148183	2200:Engineering	0.285714285714286	1900:Earth and Planetary Sciences	0.257142857142857	2300:Environmental Science	0.2	FALSE	FALSE	using, assessment, metro, risk, excavation	13
4390_	-2.988859588509163	-0.13035921462548117	2700:Medicine	0.680851063829787	2800:Neuroscience	0.180851063829787	2900:Nursing	0.138297872340426	TRUE	FALSE	stroke, covid-19, acute, care, pandemic	24
440_	-1.5256817879103377	-0.20546201891549404	2700:Medicine	0.753086419753086	2400:Immunology and Microbiology	0.160493827160494	2300:Environmental Science	0.0246913580246914	TRUE	TRUE	sars-cov-2, saliva, detection, antigen, rapid	40
4465_	-1.0321667992135832	0.943182123601684	1400:Business, Management and Accounting	0.298823529411765	1800:Decision Sciences	0.192941176470588	2200:Engineering	0.155294117647059	TRUE	FALSE	supply, chain, blockchain, technology, research	124
4473_	-1.6504079282206916	-1.478129932185754	1300:Biochemistry, Genetics and Molecular Biology	0.290076335877863	2700:Medicine	0.290076335877863	2400:Immunology and Microbiology	0.145038167938931	FALSE	TRUE	pyroptosis, gasdermin, cell, d, cancer	58
4481_	-2.146715092408182	1.6159463706929431	1100:Agricultural and Biological Sciences	0.307692307692308	1300:Biochemistry, Genetics and Molecular Biology	0.282051282051282	2300:Environmental Science	0.230769230769231	FALSE	TRUE	dna, environmental, marine, reveals, (edna)	14
4518_	-0.054201403759857436	-0.2508314255540133	1900:Earth and Planetary Sciences	0.247933884297521	1000:Multidisciplinary	0.206611570247934	2300:Environmental Science	0.190082644628099	FALSE	TRUE	ice, mass, permafrost, glacier, sheet	70
452_	-3.0346251671349913	-0.7677248508785244	2700:Medicine	0.480916030534351	3200:Psychology	0.221374045801527	2800:Neuroscience	0.0916030534351145	FALSE	FALSE	use, personality, alcohol, disorder, disorders	60
4523_	-0.8384779799642373	0.30721563210555164	2300:Environmental Science	0.347826086956522	1100:Agricultural and Biological Sciences	0.260869565217391	1900:Earth and Planetary Sciences	0.0869565217391304	TRUE	FALSE	climate, covid-19, effects, lockdown, pandemic	12
4525_	-3.6916436564677797	-1.9638107476910993	1300:Biochemistry, Genetics and Molecular Biology	0.4	1100:Agricultural and Biological Sciences	0.114285714285714	2400:Immunology and Microbiology	0.114285714285714	FALSE	FALSE	gene, drive, population, anopheles, control	10
4537_	-0.2914288693808818	1.9465517017133624	2000:Economics, Econometrics and Finance	0.515151515151515	1400:Business, Management and Accounting	0.242424242424242	2300:Environmental Science	0.0909090909090909	FALSE	FALSE	climate, change, global, risks, affect	12
4540_	-4.8959755517267745	0.8317583970342766	3200:Psychology	0.55	3300:Social Sciences	0.35	2700:Medicine	0.05	FALSE	FALSE	students, academic, achievement, look, adult	13
4549_	1.86695016626739	1.3902371847619184	2300:Environmental Science	0.736842105263158	2700:Medicine	0.126315789473684	1900:Earth and Planetary Sciences	0.105263157894737	FALSE	FALSE	groundwater, health, quality, loess, risks	23
4564_	0.023457473867737513	0.3089383314633275	2300:Environmental Science	0.607843137254902	2700:Medicine	0.117647058823529	1000:Multidisciplinary	0.0588235294117647	FALSE	FALSE	microplastics, atmospheric, transport, human, microplastic	20
4577_	0.039587278847775645	2.3251530719843134	1700:Computer Science	0.518248175182482	2200:Engineering	0.131386861313869	1800:Decision Sciences	0.124087591240876	FALSE	FALSE	decision, group, consensus, making, large-scale	37
4591_	0.17992616211708828	2.0144644718654177	2200:Engineering	0.463636363636364	1700:Computer Science	0.345454545454545	2600:Mathematics	0.0818181818181818	FALSE	FALSE	deep, diagnosis, fault, learning, life	27
4601_	2.9086210538274098	-0.8678045394021591	2100:Energy	0.333333333333333	2500:Materials Science	0.230769230769231	1600:Chemistry	0.128205128205128	FALSE	FALSE	proton-conducting, cells, ceramic, fuel, protonic	13
4625_	-2.4296384651318674	0.8121214208614747	2700:Medicine	0.529411764705882	1300:Biochemistry, Genetics and Molecular Biology	0.117647058823529	2400:Immunology and Microbiology	0.0882352941176471	TRUE	FALSE	knowledge,, covid-19, among, practices, towards	16
4643_	-1.1164151795544743	1.4138979382064905	1700:Computer Science	0.426229508196721	2200:Engineering	0.147540983606557	2700:Medicine	0.114754098360656	FALSE	FALSE	blockchain, healthcare, data, health, based	16
4650_	1.7764478583417853	0.6970830841917334	1300:Biochemistry, Genetics and Molecular Biology	0.272727272727273	2100:Energy	0.136363636363636	2300:Environmental Science	0.136363636363636	FALSE	FALSE	adsorption, reactive, blue, dye, dye:	14
4660_	1.5094591542983526	0.5061552870915768	3100:Physics and Astronomy	0.214285714285714	2200:Engineering	0.182142857142857	2100:Energy	0.146428571428571	FALSE	FALSE	nanofluid, heat, experimental, thermal, hybrid	94
4662_	3.184954843594446	0.060532610841534475	3100:Physics and Astronomy	0.278761061946903	2500:Materials Science	0.146017699115044	2200:Engineering	0.13716814159292	FALSE	FALSE	flow, nanofluid, convection, entropy, heat	73
4663_	2.6222630887336984	0.17708061217756121	3100:Physics and Astronomy	0.26	2100:Energy	0.18	2200:Engineering	0.18	FALSE	FALSE	review, heat, change, thermal, phase	19
4669_	3.051002897076431	2.1552406400549833	1500:Chemical Engineering	0.241379310344828	2200:Engineering	0.241379310344828	1600:Chemistry	0.172413793103448	FALSE	FALSE	fluid, hybrid, nanoparticles, analysis, effect	12
4681_	0.9305598710219508	0.5178577681136304	2100:Energy	0.453846153846154	2300:Environmental Science	0.138461538461538	1900:Earth and Planetary Sciences	0.115384615384615	FALSE	FALSE	wind, forecasting, speed, energy, review	37
4711_	0.5528782508312661	2.851296527876422	2200:Engineering	0.461538461538462	1700:Computer Science	0.269230769230769	2600:Mathematics	0.115384615384615	FALSE	FALSE	based, algorithm, image, network, neural	14
4727_	0.15418336769896762	-0.8138313352111661	3000:Pharmacology, Toxicology and Pharmaceutics	0.716981132075472	1300:Biochemistry, Genetics and Molecular Biology	0.0943396226415094	2700:Medicine	0.0754716981132075	FALSE	FALSE	3d, printing, drug, using, pharmaceutical	32
4742_	-0.6851293697827251	0.21612714683976145	3300:Social Sciences	0.383838383838384	3200:Psychology	0.202020202020202	1200:Arts and Humanities	0.0808080808080808	FALSE	FALSE	fake, news, social, media, misinformation	43
4743_	-0.8466813196739024	2.5692373150941186	3300:Social Sciences	0.425	2200:Engineering	0.275	1700:Computer Science	0.075	FALSE	FALSE	factors, ride-hailing, decrease, exploring, increase	12
4755_	2.6225604329889114	-0.5684201839051432	2300:Environmental Science	0.322222222222222	2500:Materials Science	0.311111111111111	1500:Chemical Engineering	0.188888888888889	FALSE	FALSE	toluene, oxidation, catalytic, enhanced, metal	23
4780_	5.854205853422399	-7.0723506822074045	3100:Physics and Astronomy	0.526315789473684	1900:Earth and Planetary Sciences	0.473684210526316			FALSE	FALSE	cluster, galaxy, clusters, constraints, lensing	10
4783_	6.040840843251538	-6.602920604195504	3100:Physics and Astronomy	0.526315789473684	1900:Earth and Planetary Sciences	0.473684210526316			FALSE	FALSE	lofar, radio, sky, survey, two-metre	10
4803_	1.4594376002054334	1.7319978329566081	2300:Environmental Science	0.204545454545455	2200:Engineering	0.159090909090909	1500:Chemical Engineering	0.113636363636364	FALSE	FALSE	using, water, removal, coli, efficient	11
4809_	-0.5337690773312067	1.7367985224297258	1700:Computer Science	0.75	2200:Engineering	0.0952380952380952	1800:Decision Sciences	0.0476190476190476	FALSE	FALSE	edge, method, computing, offloading, computation	24
4834_	1.8510331955403811	0.890667808596614	2200:Engineering	0.253588516746411	2100:Energy	0.22488038277512	2300:Environmental Science	0.205741626794258	FALSE	FALSE	coal, dust, characteristics, effect, based	51
4887_	-1.1720057552298166	-3.616464576413841	2400:Immunology and Microbiology	0.394736842105263	2700:Medicine	0.263157894736842	1100:Agricultural and Biological Sciences	0.0789473684210526	FALSE	FALSE	african, fever, swine, virus, 2018	11
